Read 40 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
x x 1747321603.9192452 sample_queries/q11_17e.sql 8.030191898345947 PG
x x 1747321611.7104921 sample_queries/q35_1a1508.sql 7.791187763214111 PG
x x 1747321615.7627246 sample_queries/q15_18a.sql 4.052198648452759 PG
x x 1747321616.8231783 sample_queries/q27_3c.sql 1.060417890548706 PG
x x 1747321619.474163 sample_queries/q34_1a275.sql 2.6509506702423096 PG
x x 1747321627.485166 sample_queries/q39_2a2781.sql 8.010966062545776 PG
x x 1747321627.7464402 sample_queries/q27_3c.sql 0.26124143600463867 PG
x x 1747321628.6264305 sample_queries/q28_13a.sql 0.8799474239349365 PG
x x 1747321632.3182466 sample_queries/q10_2a265.sql 3.6917800903320312 PG
x x 1747321636.4436085 sample_queries/q26_2a274.sql 4.125328063964844 PG
x x 1747321645.0467482 sample_queries/q23_19d.sql 8.603106498718262 PG
x x 1747321649.8202562 sample_queries/q4_8a122.sql 4.773475170135498 PG
x x 1747321688.6739507 sample_queries/q2_8a82.sql 38.85366201400757 PG
x x 1747321697.436386 sample_queries/q38_2a1870.sql 8.762394666671753 PG
x x 1747321700.459317 sample_queries/q26_2a274.sql 3.0228896141052246 PG
x x 1747321702.255232 sample_queries/q17_7a164.sql 1.7958812713623047 PG
x x 1747321703.2932847 sample_queries/q4_8a122.sql 1.038017749786377 PG
x x 1747321705.011021 sample_queries/q3_7a99.sql 1.7176933288574219 PG
x x 1747321705.0561192 sample_queries/q24_32a.sql 0.04505658149719238 PG
x x 1747321705.972212 sample_queries/q13_7a121.sql 0.9160566329956055 PG
x x 1747321706.0276003 sample_queries/q29_6e.sql 0.05535459518432617 PG
x x 1747321706.645372 sample_queries/q28_13a.sql 0.6177306175231934 PG
x x 1747321716.6337037 sample_queries/q38_2a1870.sql 9.988298892974854 PG
x x 1747321717.1493838 sample_queries/q31_2a39.sql 0.5156490802764893 PG
x x 1747321717.2037938 sample_queries/q29_6e.sql 0.05437517166137695 PG
Initial input channels: 10
Epoch 0 training loss: 2.288632571697235
Epoch 15 training loss: 0.2734871134161949
Epoch 30 training loss: 0.45154690742492676
Epoch 45 training loss: 0.7679625898599625
Epoch 60 training loss: 0.525055930018425
Epoch 75 training loss: 0.6197440326213837
Epoch 90 training loss: 0.42415425181388855
Epoch 105 training loss: 0.46835649013519287
Epoch 120 training loss: 0.3102496713399887
Epoch 135 training loss: 0.27518320828676224
Epoch 150 training loss: 0.43471935391426086
Epoch 165 training loss: 0.39728400111198425
Epoch 180 training loss: 0.43607297539711
Epoch 195 training loss: 0.41210591048002243
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
0 0 1747321722.2064974 sample_queries/q31_2a39.sql 0.5561213493347168
0 1 1747321722.2536235 sample_queries/q24_32a.sql 0.0470883846282959
0 2 1747321727.454091 sample_queries/q11_17e.sql 5.2004311084747314
0 3 1747321732.11235 sample_queries/q12_17a.sql 4.658217430114746
0 4 1747321733.486183 sample_queries/q7_7a48.sql 1.3737988471984863
0 5 1747321746.355393 sample_queries/q40_2a8120.sql 12.86917519569397
0 6 1747321746.5181856 sample_queries/q20_24b.sql 0.16276073455810547
0 7 1747321755.0870683 sample_queries/q5_8a423.sql 8.568848609924316
0 8 1747321755.145916 sample_queries/q29_6e.sql 0.058814048767089844
0 9 1747321759.216569 sample_queries/q14_6a349.sql 4.070613622665405
0 10 1747321760.3726628 sample_queries/q4_8a122.sql 1.1560494899749756
0 11 1747321760.9760745 sample_queries/q31_2a39.sql 0.6033768653869629
0 12 1747321762.546336 sample_queries/q7_7a48.sql 1.5702266693115234
0 13 1747321764.3577795 sample_queries/q35_1a1508.sql 1.8114078044891357
0 14 1747321770.6419227 sample_queries/q13_7a121.sql 6.284109115600586
0 15 1747321770.9017515 sample_queries/q32_2a493.sql 0.2597925662994385
0 16 1747321783.0522308 sample_queries/q39_2a2781.sql 12.15044093132019
0 17 1747321791.5452788 sample_queries/q5_8a423.sql 8.49301266670227
0 18 1747321820.2381923 sample_queries/q22_8a27.sql 28.692879676818848
0 19 1747321856.6814787 sample_queries/q2_8a82.sql 36.44324254989624
0 20 1747321859.9103665 sample_queries/q36_7a136.sql 3.228849172592163
0 21 1747321862.372575 sample_queries/q16_26c.sql 2.462172269821167
0 22 1747321873.6022408 sample_queries/q40_2a8120.sql 11.229631185531616
0 23 1747321885.2131586 sample_queries/q39_2a2781.sql 11.610875844955444
0 24 1747321890.1217086 sample_queries/q12_17a.sql 4.908507585525513
Initial input channels: 10
Epoch 0 training loss: 0.2889475002884865
Epoch 15 training loss: 0.3086554358014837
Epoch 30 training loss: 0.6488588377833366
Epoch 45 training loss: 0.6793744564056396
Epoch 60 training loss: 0.359467588365078
Epoch 75 training loss: 0.7448977082967758
Epoch 90 training loss: 0.3498285450041294
Epoch 105 training loss: 0.6909328326582909
Epoch 120 training loss: 0.6772670987993479
Epoch 135 training loss: 0.4896939378231764
Epoch 150 training loss: 0.6328984722495079
Epoch 165 training loss: 0.3465785695007071
Epoch 180 training loss: 0.4926491007208824
Epoch 195 training loss: 0.4454416446387768
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
1 0 1747321900.4341648 sample_queries/q31_2a39.sql 4.6955482959747314
1 1 1747321902.807598 sample_queries/q23_19d.sql 2.3733973503112793
1 2 1747321905.3550947 sample_queries/q17_7a164.sql 2.5474603176116943
1 3 1747321905.5945902 sample_queries/q32_2a493.sql 0.23945999145507812
1 4 1747321915.5323398 sample_queries/q8_6a505.sql 9.937716245651245
1 5 1747321917.515447 sample_queries/q30_18c.sql 1.9830586910247803
1 6 1747321920.2310157 sample_queries/q14_6a349.sql 2.7155261039733887
1 7 1747321920.8501923 sample_queries/q28_13a.sql 0.6191356182098389
1 8 1747321929.1717093 sample_queries/q39_2a2781.sql 8.32148027420044
1 9 1747321934.8121734 sample_queries/q8_6a505.sql 5.640415906906128
1 10 1747321938.9911997 sample_queries/q36_7a136.sql 4.178988695144653
1 11 1747321949.9236753 sample_queries/q11_17e.sql 10.932438373565674
1 12 1747321955.8185787 sample_queries/q8_6a505.sql 5.894863843917847
1 13 1747321956.0653973 sample_queries/q32_2a493.sql 0.24677586555480957
1 14 1747321957.5106244 sample_queries/q13_7a121.sql 1.4451947212219238
1 15 1747321959.1879532 sample_queries/q15_18a.sql 1.677290439605713
